,dH (kcal/mol),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,PEP_dH_(kcal/mol),RDKIT_FractionCSP3,RDKIT_SPS,SOLUTE_B_ML,SOLUTE_S_GC,RDKIT_MaxPartialCharge,RDKIT_BCUT2D_MRHI,RDKIT_BalabanJ,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_LOGPHI,SOLUTE_S_ML,PEP_dHf_0,STERICS_Side_Chain_Ratio,RDKIT_SMR_VSA7,RDKIT_SlogP_VSA6,RDKIT_BCUT2D_MRLOW,RDKIT_FpDensityMorgan1,RDKIT_MinEStateIndex,DIPOLE_mmff94,RDKIT_SlogP_VSA2,RDKIT_HallKierAlpha,RDKIT_BCUT2D_CHGLO,RDKIT_BCUT2D_CHGHI,RDKIT_BCUT2D_LOGPLOW,RDKIT_MaxAbsPartialCharge,RDKIT_AvgIpc,RDKIT_NumSaturatedRings,PEP_dHf_2,RDKIT_ExactMolWt,RDKIT_BCUT2D_MWLOW,PEP_dHf_1,RDKIT_MolWt,RDKIT_SMR_VSA5,RDKIT_MaxEStateIndex,RDKIT_NumAliphaticRings,RDKIT_MinPartialCharge,RDKIT_MinAbsEStateIndex,RDKIT_MaxAbsEStateIndex,RDKIT_VSA_EState1,RDKIT_TPSA,RDKIT_NumValenceElectrons,RDKIT_Chi3v,RDKIT_PEOE_VSA8,RDKIT_Kappa2,RDKIT_qed,SOLUTE_B_GC,RDKIT_Chi1,RDKIT_SlogP_VSA3,RDKIT_BCUT2D_MWHI,SOLUTE_E_GC,RDKIT_VSA_EState2,SOLUTE_V_GC,SOLUTE_V_ML,RDKIT_Chi3n,RDKIT_Chi4v,RDKIT_NumSaturatedHeterocycles,RDKIT_Chi4n,RDKIT_EState_VSA8,RDKIT_Chi2v,RDKIT_VSA_EState8,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticHeterocycles,RDKIT_NumHAcceptors,RDKIT_SlogP_VSA5,RDKIT_FpDensityMorgan3,RDKIT_VSA_EState4,RDKIT_Chi2n,RDKIT_VSA_EState5,RDKIT_Chi0,SOLUTE_L_ML,RDKIT_Kappa1,SOLUTE_A_ML,RDKIT_PEOE_VSA7,RDKIT_LabuteASA,RDKIT_HeavyAtomCount,RDKIT_HeavyAtomMolWt,STERICS_Volume,RDKIT_RingCount
430,-15.894,s,vinyl/acrylic,C=Cc1ccccc1,False,False,False,False,False,False,True,False,False,True,4,-19.2,0.0,8.5,0.17,0.617,-0.026,5.452,2.991,0.026,1.969,0.652,35.51,0.6,42.474,36.911,1.667,1.125,1.174,0.12,0.0,-1.04,-1.848,1.753,-1.633,0.098,1.903,0,12.12,104.063,10.213,-4.19,104.152,0.0,3.631,0,-0.098,1.174,3.631,0.0,0.0,40,1.035,0.0,2.314,0.513,0.185,3.932,0.0,13.814,0.836,0.0,0.955,0.955,1.035,0.589,0,0.589,6.579,1.615,3.631,0.0,1.75,0,0,5.563,2.125,1.174,1.615,0.0,5.82,3.931,5.104,-0.003,5.563,49.472,8,96.088,1098.066,1
431,-16.372,l,vinyl/acrylic,C=Cc1ccccc1Cl,False,False,False,False,False,False,True,False,True,False,4,-19.2,0.0,9.0,0.109,0.716,0.048,6.315,3.148,0.048,2.143,0.68,28.41,0.64,41.43,30.844,1.663,1.333,0.757,1.91,0.0,-0.75,-1.923,1.888,-1.693,0.098,1.893,0,-2.08,138.024,10.207,-11.29,138.597,0.0,5.753,0,-0.098,0.757,5.753,0.0,0.0,46,1.469,5.023,2.696,0.56,0.154,4.343,0.0,35.496,0.971,0.0,1.078,1.078,1.125,0.854,0,0.641,6.579,2.133,3.607,0.0,2.0,0,0,5.563,2.444,0.985,1.726,0.0,6.69,4.762,6.371,0.0,11.63,59.775,9,131.541,1235.324,1
432,-18.045,l,vinyl/acrylic,C=Cc1ccccn1,False,False,False,False,False,False,True,False,True,False,4,-19.2,0.0,8.5,0.59,0.808,0.062,5.396,2.991,0.062,1.914,0.887,48.91,0.6,36.669,30.975,1.297,1.5,0.924,2.22,4.984,-1.11,-1.841,1.769,-1.728,0.257,1.903,0,38.92,105.058,10.351,9.21,105.14,0.0,3.979,0,-0.257,0.924,3.979,0.0,12.89,40,0.897,6.197,2.262,0.53,0.489,3.932,0.0,14.645,0.732,3.979,0.914,0.914,0.897,0.497,0,0.497,11.563,1.459,3.568,0.0,2.375,0,1,5.694,2.75,0.924,1.459,0.0,5.82,4.16,5.035,0.001,18.209,48.691,8,98.084,1098.066,1
433,-17.567,s,vinyl/acrylic,C=Cc1ccccn1,False,False,False,False,False,False,True,False,False,True,4,-19.2,0.0,8.5,0.59,0.808,0.062,5.396,2.991,0.062,1.914,0.887,48.91,0.6,36.669,30.975,1.297,1.5,0.924,2.22,4.984,-1.11,-1.841,1.769,-1.728,0.257,1.903,0,38.92,105.058,10.351,9.21,105.14,0.0,3.979,0,-0.257,0.924,3.979,0.0,12.89,40,0.897,6.197,2.262,0.53,0.489,3.932,0.0,14.645,0.732,3.979,0.914,0.914,0.897,0.497,0,0.497,11.563,1.459,3.568,0.0,2.375,0,1,5.694,2.75,0.924,1.459,0.0,5.82,4.16,5.035,0.001,18.209,48.691,8,98.084,1098.066,1
434,-18.642,l,vinyl/acrylic,C=Cc1ccncc1,False,False,False,False,False,False,True,False,True,False,4,-19.2,0.0,8.5,0.584,0.873,0.027,5.442,2.991,0.027,1.945,0.935,48.91,0.6,36.669,31.105,1.322,1.375,1.111,2.06,4.984,-1.11,-1.843,1.762,-1.689,0.265,1.903,0,38.92,105.058,10.269,9.21,105.14,0.0,3.846,0,-0.265,1.111,3.846,0.0,12.89,40,0.942,12.394,2.262,0.53,0.524,3.932,0.0,14.601,0.836,3.846,0.914,0.914,0.942,0.5,0,0.5,11.563,1.485,3.603,0.0,2.0,0,1,5.563,2.375,1.111,1.485,0.0,5.82,4.223,5.035,0.002,17.696,48.691,8,98.084,1098.066,1
435,-18.642,s,vinyl/acrylic,C=Cc1ccncc1,False,False,False,False,False,False,True,False,False,True,4,-19.2,0.0,8.5,0.584,0.873,0.027,5.442,2.991,0.027,1.945,0.935,48.91,0.6,36.669,31.105,1.322,1.375,1.111,2.06,4.984,-1.11,-1.843,1.762,-1.689,0.265,1.903,0,38.92,105.058,10.269,9.21,105.14,0.0,3.846,0,-0.265,1.111,3.846,0.0,12.89,40,0.942,12.394,2.262,0.53,0.524,3.932,0.0,14.601,0.836,3.846,0.914,0.914,0.942,0.5,0,0.5,11.563,1.485,3.603,0.0,2.0,0,1,5.563,2.375,1.111,1.485,0.0,5.82,4.223,5.035,0.002,17.696,48.691,8,98.084,1098.066,1
436,-18.523,l,vinyl/acrylic,C=CCCl,False,False,False,False,False,False,True,False,True,False,4,-20.77,0.333,6.25,0.094,0.31,0.04,6.184,2.297,0.04,1.668,0.549,-1.38,0.33,12.655,12.655,1.802,2.0,0.556,1.94,5.88,0.03,-1.548,1.476,-1.446,0.122,1.371,0,-64.8,76.008,10.773,-42.65,76.526,0.0,5.068,0,-0.122,0.556,5.068,0.0,0.0,24,0.327,5.88,3.03,0.327,0.093,1.914,0.0,35.496,0.282,0.0,0.611,0.611,0.109,0.0,0,0.0,6.579,0.752,3.347,0.0,2.25,0,0,0.0,2.25,0.0,0.443,0.556,3.414,2.057,4.03,0.002,0.0,31.083,4,71.486,549.033,0
437,-21.75,s,vinyl/acrylic,C=CCCl,False,False,False,False,False,False,True,False,False,True,4,-20.77,0.333,6.25,0.094,0.31,0.04,6.184,2.297,0.04,1.668,0.549,-1.38,0.33,12.655,12.655,1.802,2.0,0.556,1.94,5.88,0.03,-1.548,1.476,-1.446,0.122,1.371,0,-64.8,76.008,10.773,-42.65,76.526,0.0,5.068,0,-0.122,0.556,5.068,0.0,0.0,24,0.327,5.88,3.03,0.327,0.093,1.914,0.0,35.496,0.282,0.0,0.611,0.611,0.109,0.0,0,0.0,6.579,0.752,3.347,0.0,2.25,0,0,0.0,2.25,0.0,0.443,0.556,3.414,2.057,4.03,0.002,0.0,31.083,4,71.486,549.033,0
438,-15.457,l,vinyl/acrylic,C=CCCOC(=O)C(=C)Cl,False,False,False,False,False,False,True,False,True,False,4,-21.8,0.286,8.5,0.472,0.775,0.349,6.403,3.398,0.349,1.991,0.81,-66.45,0.67,24.266,24.266,-0.138,1.7,-0.566,1.62,12.576,-0.76,-1.982,2.019,-2.034,0.461,1.88,0,-197.0,160.029,10.447,-108.75,160.6,6.421,10.53,0,-0.461,0.093,10.53,4.602,26.3,56,0.931,0.0,5.059,0.272,0.506,4.681,9.531,35.496,0.435,10.53,1.206,1.206,0.777,0.368,0,0.313,17.895,2.074,6.968,9.531,2.3,0,2,6.421,2.7,0.0,1.618,-0.566,7.983,4.512,9.24,0.016,6.421,65.128,10,151.528,1372.583,0
439,-31.549,g,vinyl/acrylic,C=CCl,False,False,False,False,False,False,True,True,False,False,4,-24.5,0.0,4.333,0.046,0.24,-0.003,6.245,2.187,0.003,1.6,0.35,4.8,0.2,12.114,12.114,2.634,2.0,1.222,1.57,0.0,0.03,-1.272,1.179,-0.926,0.094,0.918,0,-59.9,61.992,11.283,-40.2,62.499,0.0,4.762,0,-0.094,1.222,4.762,0.0,0.0,18,0.0,0.0,2.03,0.398,0.046,1.414,0.0,35.496,0.218,0.0,0.47,0.47,0.0,0.0,0,0.0,6.579,0.463,3.127,0.0,2.0,0,0,0.0,2.0,1.222,0.154,0.0,2.707,1.404,3.03,0.011,5.535,24.718,3,59.475,411.775,0
