,Tc (C),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,RDKIT_MolWt,PEP_dHf_1,MIX_dSsolv298(kJ/mol/K),PEP_dH_(kcal/mol),RDKIT_NumValenceElectrons,RDKIT_Kappa2,SOLUTE_L_ML,RDKIT_SlogP_VSA6,SOLUTE_E_ML,RDKIT_LabuteASA,PEP_dHf_0,RDKIT_EState_VSA8,RDKIT_FpDensityMorgan3,SOLUTE_V_ML,MIX_logK,SOLUTE_B_ML,RDKIT_VSA_EState4,RDKIT_NumSaturatedRings,STERICS_Wiener_Index,SOLUTE_B_GC,RDKIT_SPS,RDKIT_MaxEStateIndex,SOLUTE_S_ML,RDKIT_VSA_EState2,RDKIT_BCUT2D_CHGHI,RDKIT_MaxPartialCharge,SOLUTE_E_GC,RDKIT_Chi1n,RDKIT_MinEStateIndex,RDKIT_HeavyAtomMolWt,RDKIT_SMR_VSA7,RDKIT_PEOE_VSA14,SOLUTE_L_GC,RDKIT_SlogP_VSA2,RDKIT_VSA_EState1,PEP_dHf_2,RDKIT_PEOE_VSA1,RDKIT_RingCount,RDKIT_MinPartialCharge,RDKIT_Chi4v,RDKIT_Chi0v,STERICS_VDW_Volume,RDKIT_Chi0,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticRings,RDKIT_NumSaturatedHeterocycles,RDKIT_SlogP_VSA5,RDKIT_Chi1v,RDKIT_ExactMolWt,RDKIT_Kappa3,RDKIT_NumAliphaticHeterocycles,RDKIT_PEOE_VSA7,RDKIT_SMR_VSA5,RDKIT_Chi2n,RDKIT_fr_lactone,RDKIT_VSA_EState7,RDKIT_BCUT2D_CHGLO,STERICS_Side_Chain_Ratio,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_BCUT2D_MRHI,MIX_logP,TANIMOTO,RDKIT_VSA_EState8,RDKIT_Chi3n,RDKIT_MaxAbsEStateIndex,RDKIT_fr_ether,RDKIT_Chi1,DIPOLE_mmff94,STERICS_Backbone_Length,RDKIT_NumHAcceptors,SOLUTE_V_GC,RDKIT_qed,STERICS_Volume,RDKIT_Chi2v,RDKIT_MinAbsEStateIndex,RDKIT_TPSA,MIX_dHsolv298(kJ/mol),RDKIT_HeavyAtomCount,SOLUTE_A_ML,RDKIT_AvgIpc,RDKIT_BCUT2D_MRLOW,RDKIT_FractionCSP3,RDKIT_VSA_EState5,RDKIT_BCUT2D_MWHI,RDKIT_Kappa1,RDKIT_BCUT2D_LOGPHI,RDKIT_NOCount,RDKIT_PEOE_VSA8,MIX_dGsolv298(kJ/mol),RDKIT_BCUT2D_LOGPLOW,RDKIT_FpDensityMorgan1,RDKIT_SlogP_VSA3,RDKIT_BalabanJ,RDKIT_HallKierAlpha,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_MWLOW,SOLUTE_S_GC,RDKIT_Chi0n
199,118.154,l,ROP,O=C1NCCCO1,False,False,True,False,False,False,False,False,True,False,101.105,-100.02,-0.097,-13.8,40,1.818,4.118,0.0,0.49,41.653,-86.72,10.054,2.857,0.738,7.23,0.658,0.0,1,114,0.581,20.286,10.13,1.3,10.13,2.041,0.407,0.482,2.3,-0.286,94.049,0.0,6.093,3.336,19.245,4.528,-200.54,10.054,1,-0.449,0.479,3.938,171.003,5.113,9.531,2.571,1,1,6.421,2.3,101.048,1.066,1,6.421,6.421,1.416,1,0.65,-2.103,0.11,0.824,0.479,5.671,0.0,1.0,1.338,0.824,10.13,1,3.394,4.89,8,2,0.738,0.47,960.808,1.416,0.286,38.33,-70.11,7,0.229,1.686,0.129,0.75,0.0,16.549,4.429,1.876,3,6.545,-41.26,-2.311,1.714,4.737,2.25,-0.73,0.449,0.407,10.421,0.95,3.938
200,118.154,s,ROP,O=C1CCC(=O)OC1,False,False,True,False,False,False,False,False,False,True,114.1,-122.88,-0.038,0.0,44,1.942,4.264,0.0,0.545,46.63,-125.99,4.737,2.375,0.795,3.41,0.811,0.0,1,143,0.88,20.5,10.331,1.74,20.566,2.144,0.306,0.471,2.462,-0.26,108.052,0.0,5.969,4.5,18.359,4.402,-248.87,4.737,1,-0.458,0.547,4.346,195.432,5.983,14.326,2.0,1,1,12.842,2.462,114.032,1.055,1,0.0,12.842,1.699,1,0.623,-2.071,0.2,1.002,0.547,5.881,2.65,0.0,-0.015,1.002,10.331,1,3.788,2.66,8,3,0.795,0.413,1098.066,1.699,0.015,43.37,-30.81,8,-0.006,1.77,-0.152,0.6,-0.241,16.537,5.28,2.005,3,6.421,-19.45,-2.202,1.25,14.326,2.401,-0.86,0.458,0.306,10.182,1.346,4.346
202,120.914,s,ROP,CC1(c2ccccc2)COC(=O)OC1,False,False,True,False,False,False,False,False,False,True,192.214,-134.9,-0.052,-1.7,74,3.328,6.283,30.332,0.816,82.639,-115.97,0.0,2.286,1.445,2.97,0.73,0.919,1,446,0.686,19.643,10.738,1.744,10.738,2.34,0.508,0.856,4.558,-0.571,180.118,35.895,6.155,5.919,19.369,9.773,-252.57,9.474,2,-0.433,1.527,8.026,342.006,10.019,14.268,1.714,1,1,12.487,4.558,192.079,1.575,1,12.487,12.339,3.754,2,-0.571,-2.32,0.5,2.488,1.527,5.608,0.39,0.067,2.792,2.488,10.738,2,6.706,4.7,8,3,1.445,0.639,1921.616,3.754,0.213,35.53,-32.53,14,0.021,2.242,-0.022,0.364,0.0,16.733,9.061,2.269,3,0.0,-16.94,-2.4,1.143,14.889,2.21,-1.51,0.508,0.433,9.837,1.302,8.026
203,121.565,s,ROP,CCC1(CC)COC(=O)OC1,False,False,True,False,False,False,False,False,False,True,158.197,-179.0,-0.049,-1.7,64,3.113,4.904,0.0,0.3,66.677,-160.07,13.847,2.091,1.26,3.03,0.656,0.077,1,262,0.465,22.182,10.538,1.281,10.538,2.336,0.508,0.218,4.018,-0.525,144.085,0.0,6.155,4.042,19.369,9.629,-340.77,9.474,1,-0.434,1.166,7.053,268.719,8.32,14.268,1.727,1,1,26.689,4.018,158.094,1.643,1,12.842,26.689,3.034,2,1.468,-2.331,0.38,2.492,1.166,5.602,0.45,0.08,5.204,2.492,10.538,2,5.222,4.76,8,3,1.26,0.576,1509.841,3.034,0.077,35.53,-31.92,11,0.049,2.072,-0.063,0.875,0.0,16.733,8.367,2.295,3,5.415,-17.28,-2.378,1.273,9.474,2.517,-0.73,0.508,0.434,9.837,0.709,7.053
204,122.199,s,ROP,CC1OC(=O)C(C)OC1=O,False,False,True,False,False,False,False,False,False,True,144.126,-203.89,-0.057,-20.5,56,2.284,4.22,0.0,0.463,58.108,-166.36,9.474,1.6,0.994,4.9,0.722,0.0,1,216,1.013,33.0,10.651,1.416,21.301,2.315,0.347,0.566,3.02,-0.747,136.062,0.0,11.939,4.37,24.147,9.194,-390.75,9.474,1,-0.448,0.636,5.788,244.29,7.724,19.063,1.3,1,1,13.847,3.02,144.042,1.097,1,13.847,26.055,2.158,2,-1.493,-2.219,0.33,1.25,0.636,5.863,-0.77,0.1,2.957,1.25,10.651,2,4.609,2.48,8,4,0.994,0.444,1372.583,2.158,0.48,52.6,-44.87,10,0.037,1.841,-0.191,0.667,-0.959,16.645,7.052,2.08,4,0.0,-27.93,-2.404,1.0,19.063,2.631,-1.06,0.448,0.347,10.299,1.093,5.788
205,126.323,g,cationic,CC1CO1,False,False,False,True,False,False,False,True,False,False,58.08,-69.27,0.0,-26.9,24,0.462,1.804,0.0,0.246,25.577,-21.87,6.924,2.25,0.481,0.0,0.348,0.0,1,32,0.315,39.75,4.708,0.728,0.0,2.127,0.078,0.083,1.51,0.583,52.032,0.0,0.0,1.807,12.711,4.708,-118.04,4.737,1,-0.373,0.096,2.693,97.716,2.992,4.737,2.25,1,1,6.924,1.51,58.042,0.206,1,6.924,13.028,1.144,0,0.583,-1.505,0.17,0.5,0.096,4.577,0.0,-1.0,3.042,0.5,4.708,1,1.894,1.79,5,1,0.481,0.367,549.033,1.144,0.583,12.53,0.0,4,0.059,1.75,0.423,1.0,0.0,16.578,2.213,2.035,1,0.0,0.0,-1.595,2.0,4.737,2.171,-0.04,0.373,0.078,10.588,0.397,2.693
206,131.376,s,ROP,CC1OC(=O)C(C)OC1=O,False,False,True,False,False,False,False,False,False,True,144.126,-203.89,-0.058,-20.5,56,2.284,4.22,0.0,0.463,58.108,-166.36,9.474,1.6,0.994,5.71,0.722,0.0,1,216,1.013,33.0,10.651,1.416,21.301,2.315,0.347,0.566,3.02,-0.747,136.062,0.0,11.939,4.37,24.147,9.194,-390.75,9.474,1,-0.448,0.636,5.788,244.29,7.724,19.063,1.3,1,1,13.847,3.02,144.042,1.097,1,13.847,26.055,2.158,2,-1.493,-2.219,0.33,1.25,0.636,5.863,-1.77,0.118,2.957,1.25,10.651,2,4.609,2.42,8,4,0.994,0.444,1372.583,2.158,0.48,52.6,-49.73,10,0.037,1.841,-0.191,0.667,-0.959,16.645,7.052,2.08,4,0.0,-32.55,-2.404,1.0,19.063,2.631,-1.06,0.448,0.347,10.299,1.093,5.788
207,135.174,s,ROP,O=C1CSCCO1,False,False,True,False,False,False,False,False,False,True,118.157,-105.93,-0.036,0.0,40,2.211,4.659,0.0,0.787,46.226,-82.3,4.737,2.857,0.802,2.99,0.727,0.0,1,114,0.689,21.429,10.22,1.602,10.22,2.066,0.315,0.737,2.128,-0.073,112.109,0.0,5.969,4.358,24.082,4.618,-188.23,4.737,1,-0.464,1.007,4.663,171.003,5.113,9.531,2.571,1,1,0.0,3.283,118.009,1.389,1,0.0,0.0,1.273,1,0.0,-2.076,0.11,1.606,0.412,7.995,2.01,0.0,0.601,0.711,10.22,1,3.394,3.32,8,3,0.802,0.427,960.808,2.378,0.073,26.3,-27.9,7,0.001,1.686,-0.14,0.75,1.433,32.166,4.967,2.049,2,5.753,-17.05,-2.153,1.714,9.531,2.25,-0.18,0.464,0.315,10.734,1.418,3.846
208,138.312,s,vinyl/acrylic,C=C(C)c1ncco1,True,False,False,False,False,False,True,False,False,True,109.128,-24.97,-0.045,-18.08,42,1.82,3.751,23.456,0.603,47.851,13.61,11.563,2.875,0.875,3.04,0.442,0.856,0,113,0.462,9.125,4.884,0.699,3.85,1.925,0.22,0.564,2.359,0.616,102.072,24.93,0.0,3.981,4.984,4.884,-29.44,4.417,1,-0.445,0.434,4.717,195.432,5.983,4.417,2.625,0,0,12.814,2.359,109.053,0.78,0,6.924,6.924,1.618,0,3.133,-1.839,0.6,0.797,0.434,5.515,0.46,0.036,5.494,0.797,4.884,0,3.805,1.11,4,2,0.875,0.548,1098.066,1.618,0.616,26.03,-30.72,8,-0.009,2.116,0.542,0.167,0.616,16.341,5.094,2.05,2,5.573,-17.33,-1.716,1.875,0.0,2.928,-1.05,0.445,0.22,10.356,0.876,4.717
209,139.893,s,ROP,CC1OC(=O)C(C)OC1=O,False,False,True,False,False,False,False,False,False,True,144.126,-203.89,-0.077,-20.5,56,2.284,4.22,0.0,0.463,58.108,-166.36,9.474,1.6,0.994,5.33,0.722,0.0,1,216,1.013,33.0,10.651,1.416,21.301,2.315,0.347,0.566,3.02,-0.747,136.062,0.0,11.939,4.37,24.147,9.194,-390.75,9.474,1,-0.448,0.636,5.788,244.29,7.724,19.063,1.3,1,1,13.847,3.02,144.042,1.097,1,13.847,26.055,2.158,2,-1.493,-2.219,0.33,1.25,0.636,5.863,0.42,0.409,2.957,1.25,10.651,2,4.609,2.44,8,4,0.994,0.444,1372.583,2.158,0.48,52.6,-53.21,10,0.037,1.841,-0.191,0.667,-0.959,16.645,7.052,2.08,4,0.0,-30.38,-2.404,1.0,19.063,2.631,-1.06,0.448,0.347,10.299,1.093,5.788
210,139.924,s,vinyl/acrylic,C=C(C)c1nccs1,False,False,False,False,False,False,True,False,False,True,125.196,22.03,-0.044,-18.08,42,2.092,4.388,18.156,0.884,52.697,60.61,11.563,2.875,0.98,3.07,0.476,1.042,0,113,0.444,9.125,4.035,0.892,4.035,1.904,0.118,0.817,2.359,1.032,118.14,23.163,0.0,4.632,4.984,0.0,64.56,0.0,1,-0.245,1.008,5.534,195.432,5.983,0.0,2.625,0,0,11.931,3.238,125.03,0.954,0,12.497,6.924,1.618,0,1.786,-1.844,0.6,1.732,0.434,7.102,0.49,0.0,5.703,0.797,4.035,0,3.805,0.69,4,2,0.98,0.56,1098.066,2.512,1.032,12.89,-30.64,8,0.006,2.116,1.366,0.167,0.0,32.133,5.506,2.121,1,11.577,-17.5,-1.69,1.875,0.0,2.928,-0.63,0.245,0.118,10.377,1.035,4.717
211,141.796,l,ROP,C=CC1CCC(=CC)C(=O)O1,False,False,True,False,False,False,False,False,True,False,152.193,-71.13,-0.098,-7.1,60,3.373,4.992,24.304,0.551,66.549,-63.26,6.579,2.909,1.256,5.85,0.611,0.781,1,280,0.582,28.273,11.056,1.267,11.056,2.209,0.334,0.701,3.763,-0.191,140.097,24.304,5.969,5.049,12.073,5.014,-141.49,4.737,1,-0.455,1.1,6.67,268.719,8.268,9.531,2.455,1,1,19.765,3.763,152.084,1.699,1,19.765,25.869,2.532,1,5.082,-2.202,0.38,1.83,1.1,5.887,2.75,1.0,5.425,1.83,11.056,1,5.274,4.45,8,2,1.256,0.325,1509.841,2.532,0.078,26.3,-62.62,11,0.008,2.041,-0.145,0.444,-0.191,16.544,8.051,2.189,2,5.573,-33.36,-2.229,1.727,9.531,2.615,-1.05,0.455,0.334,10.038,0.774,6.67
212,141.781,l,ROP,CCCCCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,170.252,-127.51,-0.099,-10.6,70,5.175,6.076,0.0,0.345,74.293,-120.02,6.924,3.0,1.483,6.68,0.613,0.0,1,384,0.374,23.75,10.884,1.46,10.884,2.186,0.306,0.346,5.021,0.003,152.108,0.0,5.969,6.124,12.073,5.194,-258.13,4.737,1,-0.462,1.603,7.844,293.148,8.812,9.531,2.333,1,1,51.869,5.021,170.131,3.245,1,25.683,57.973,3.5,1,7.732,-2.213,0.43,2.335,1.603,5.696,3.18,1.0,2.187,2.335,10.884,1,5.826,4.07,8,2,1.483,0.479,1647.099,3.5,0.003,26.3,-67.62,12,0.004,2.05,-0.154,0.9,0.003,16.544,9.557,2.184,2,6.421,-38.12,-2.227,1.5,9.531,2.098,-0.53,0.462,0.306,10.029,1.29,7.844
213,142.221,s,vinyl/acrylic,C=C(C)C(=O)OC,False,False,False,False,False,False,True,False,False,True,100.117,-125.42,-0.072,-22.74,40,2.395,2.834,12.152,0.252,42.784,-82.18,11.316,2.143,0.844,4.77,0.432,0.433,0,88,0.455,7.714,10.19,0.538,10.19,1.95,0.332,0.201,1.92,-0.347,92.053,12.152,5.969,2.862,13.079,4.273,-230.34,4.737,0,-0.466,0.174,4.524,171.003,5.862,9.531,2.143,0,0,6.924,1.92,100.052,1.978,0,6.924,6.924,1.272,0,0.0,-1.91,0.56,0.534,0.174,5.862,3.81,0.0,4.954,0.534,10.19,1,3.181,1.99,4,2,0.844,0.359,960.808,1.272,0.347,26.3,-48.79,7,-0.001,1.646,-0.135,0.4,-0.347,16.523,6.21,1.865,2,5.573,-27.22,-1.984,1.714,9.531,3.578,-0.79,0.466,0.332,10.365,0.566,4.524
214,147.341,g,cationic,C1CCCOCC1,False,False,False,True,False,False,False,True,False,False,100.161,-79.12,0.0,-5.3,42,3.027,3.596,0.0,0.328,44.672,-53.32,0.0,1.857,0.904,0.0,0.454,0.0,1,120,0.48,24.0,5.194,0.584,0.0,1.947,0.047,0.169,3.077,1.0,88.065,0.0,0.0,3.445,13.214,5.194,-137.74,4.737,1,-0.381,0.864,4.651,171.003,4.95,4.737,1.286,1,1,25.683,3.077,100.089,1.929,1,12.842,25.683,2.027,0,5.306,-1.911,0.0,1.327,0.864,4.459,0.0,-1.0,2.0,1.327,5.194,1,3.5,1.63,9,1,0.904,0.449,960.808,2.027,1.0,9.23,0.0,7,0.003,1.902,0.144,1.0,0.0,16.473,5.104,2.041,1,13.214,0.0,-1.888,0.714,4.737,2.042,-0.04,0.381,0.047,10.21,0.42,4.651
215,148.144,s,ROP,CC1(C)Oc2ccccc2COC1=O,False,False,True,False,False,False,False,False,False,True,192.214,-137.79,-0.054,0.0,74,3.012,6.615,24.265,0.879,82.639,-120.64,0.0,2.786,1.445,3.51,0.644,0.012,0,442,0.76,18.857,11.457,1.53,11.457,2.343,0.35,0.963,4.536,-0.896,180.118,29.829,5.969,7.463,11.57,10.663,-258.43,9.474,2,-0.476,1.356,8.241,342.006,10.182,14.268,2.0,1,0,19.411,4.536,192.079,1.454,1,19.914,26.055,3.796,1,0.0,-2.205,0.44,2.188,1.356,5.792,2.94,0.182,3.702,2.188,11.457,2,6.594,3.52,9,3,1.445,0.589,1921.616,3.796,0.29,35.53,-36.01,14,0.013,2.248,-0.158,0.364,0.4,16.589,9.061,2.276,3,5.563,-20.03,-2.376,1.286,16.138,2.41,-1.51,0.476,0.35,10.125,1.52,8.241
216,149.445,l,ROP,CC1CCOC(=O)O1,False,False,True,False,False,False,False,False,True,False,116.116,-164.28,-0.074,-1.7,46,2.026,3.859,0.0,0.394,47.582,-145.35,9.474,2.875,0.838,5.97,0.647,0.0,1,142,0.391,28.625,10.229,1.433,10.229,2.155,0.508,0.304,2.622,-0.538,108.052,0.0,6.155,2.927,18.866,9.112,-311.33,9.474,1,-0.434,0.565,4.716,195.432,5.983,14.268,2.5,1,1,13.345,2.622,116.047,1.118,1,6.924,19.449,1.816,2,0.311,-2.171,0.2,1.042,0.565,5.601,0.91,1.0,2.348,1.042,10.229,2,3.788,4.87,8,3,0.838,0.442,1098.066,1.816,0.038,35.53,-56.01,8,0.009,1.642,-0.015,0.8,0.0,16.735,5.408,2.052,3,6.421,-34.03,-2.239,1.75,9.474,2.336,-0.73,0.508,0.434,10.28,0.932,4.716
217,149.836,s,ROP,CCCCCCC1(CCCCCC)CCCOC1=O,False,False,True,False,False,False,False,False,False,True,268.441,-184.22,-0.051,-10.6,112,9.386,9.423,0.0,0.218,118.848,-156.39,13.847,2.0,2.47,3.53,0.678,-0.125,1,1054,0.392,18.316,12.221,1.232,12.221,2.401,0.312,0.362,8.422,-0.125,236.185,0.0,5.969,9.556,12.576,5.369,-351.21,4.737,1,-0.465,3.19,13.009,464.151,13.977,9.531,1.526,1,1,90.897,8.422,268.24,5.541,1,25.683,90.897,6.141,1,14.242,-2.35,0.62,4.484,3.19,5.77,2.96,0.053,5.106,4.484,12.221,1,9.249,4.01,8,2,2.47,0.399,2607.907,6.141,0.103,26.3,-35.32,19,0.024,2.428,-0.163,0.941,0.103,16.536,16.524,2.398,2,0.0,-20.14,-2.37,0.947,9.531,2.435,-0.53,0.465,0.312,9.732,1.062,13.009
218,150.679,s,vinyl/acrylic,C=C(C)C#N,False,False,False,False,False,False,True,False,False,True,67.091,-7.35,-0.0,-22.8,26,1.54,2.352,12.152,0.274,31.537,35.95,6.579,2.2,0.643,5.34,0.367,0.56,0,44,0.284,5.6,7.794,0.706,0.0,1.642,0.094,0.297,1.327,0.56,62.051,12.152,0.0,2.317,0.0,0.0,5.8,0.0,0,-0.193,0.0,3.154,122.145,4.284,0.0,2.2,0,0,6.924,1.327,67.042,3.23,0,6.924,6.924,0.892,0,0.0,-1.615,0.43,0.191,0.0,5.106,2.28,0.136,4.979,0.191,7.794,0,2.27,3.55,4,1,0.643,0.389,686.291,0.892,0.56,23.79,-30.61,5,0.006,1.379,1.46,0.25,0.0,14.222,4.23,1.744,1,5.573,-30.46,-1.515,2.0,0.0,3.349,-0.77,0.193,0.094,10.411,0.625,3.154
219,151.031,s,ROP,Cc1cn(C2CC3OC(=O)OCC3O2)c(=O)n(C)c1=O,False,False,True,False,False,False,False,False,False,True,282.252,-205.34,-0.046,0.0,108,4.48,9.916,15.786,1.369,113.024,-190.86,0.0,2.75,1.853,3.35,1.579,-0.355,2,1065,1.681,28.7,12.106,2.45,34.83,2.429,0.508,1.502,6.248,-0.723,268.14,32.598,11.845,9.184,34.104,17.817,-396.2,14.211,3,-0.431,2.503,11.068,488.58,14.439,19.005,2.0,2,2,18.212,6.248,282.085,1.921,2,6.924,31.78,4.948,1,-0.281,-2.227,0.64,3.586,2.503,5.606,2.04,0.0,1.739,3.586,12.106,3,9.469,4.07,8,8,1.853,0.656,2745.166,4.948,0.111,88.76,-32.82,20,-0.008,2.827,-0.098,0.583,0.0,16.756,12.919,2.319,8,25.229,-19.11,-2.4,1.25,21.258,1.939,-2.09,0.508,0.431,10.153,2.194,11.068
220,155.405,l,vinyl/acrylic,C=C(C)C,False,False,False,False,False,False,True,False,True,False,56.108,-44.14,-0.032,-21.213,24,1.105,1.632,12.152,0.126,27.144,-4.087,6.579,1.5,0.629,1.95,0.084,1.167,0,28,0.09,6.5,3.556,0.083,0.0,1.513,-0.044,0.165,1.354,1.167,48.044,12.152,0.0,1.718,0.0,0.0,-69.44,0.0,0,-0.1,0.0,3.207,97.716,3.577,0.0,1.5,0,0,13.847,1.354,56.063,14.095,0,13.847,13.847,1.207,0,0.0,-1.65,0.33,0.0,0.0,4.784,2.8,1.0,7.5,0.0,3.556,0,1.732,0.16,4,0,0.629,0.37,549.033,1.207,1.167,0.0,-20.74,4,-0.001,0.811,1.424,0.5,0.0,13.593,3.74,1.733,0,0.0,-11.1,-1.429,1.5,0.0,2.803,-0.26,0.1,0.044,10.431,0.11,3.207
221,155.794,s,ROP,CCCCCC1(CCCCC)CCCOC1=O,False,False,True,False,False,False,False,False,False,True,240.387,-174.42,-0.051,-10.6,100,7.73,8.381,0.0,0.241,106.118,-146.59,13.847,2.118,2.188,3.56,0.654,-0.122,1,774,0.392,19.059,12.082,1.226,12.082,2.401,0.312,0.362,7.422,-0.122,212.163,0.0,5.969,8.57,12.576,5.316,-331.61,4.737,1,-0.465,2.836,11.595,415.293,12.563,9.531,1.647,1,1,78.056,7.422,240.209,4.327,1,25.683,78.056,5.434,1,11.483,-2.349,0.58,3.984,2.836,5.769,2.99,0.054,5.064,3.984,12.082,1,8.249,4.01,8,2,2.188,0.462,2333.391,5.434,0.093,26.3,-35.49,17,0.026,2.334,-0.163,0.933,0.093,16.536,14.531,2.397,2,0.0,-20.33,-2.37,1.059,9.531,2.513,-0.53,0.465,0.312,9.733,1.062,11.595
222,157.083,s,vinyl/acrylic,O=C1C=C(c2ccccc2)C(=O)N1,False,False,False,False,False,False,True,False,False,True,173.171,-68.37,-0.06,-1.57,64,2.86,6.972,36.408,1.374,75.069,-46.3,5.317,2.231,1.26,4.86,0.718,1.205,0,326,0.898,15.538,11.185,1.851,22.014,2.208,0.258,1.402,3.896,-0.344,166.115,41.971,0.0,6.633,11.814,0.0,-116.24,0.0,2,-0.289,1.244,6.781,317.577,9.259,9.589,1.692,1,0,5.563,3.896,173.048,1.357,1,5.563,0.0,2.742,0,1.317,-1.971,0.73,1.842,1.244,6.33,-0.81,0.033,0.0,1.842,11.185,0,6.271,2.0,4,2,1.26,0.636,1784.358,2.742,0.323,46.17,-45.66,13,0.386,2.469,-0.123,0.0,-0.667,16.172,7.734,2.163,3,6.076,-27.71,-2.212,1.0,9.589,2.429,-1.9,0.289,0.258,10.075,1.539,6.781
223,158.074,s,ROP,O=C1CN(c2ccccc2)CCO1,False,False,True,False,False,False,False,False,False,True,177.203,-73.52,-0.038,0.0,68,3.474,6.424,30.332,1.058,76.92,-53.11,0.0,2.692,1.346,2.79,0.892,1.083,1,390,0.691,16.923,10.983,1.71,13.003,2.168,0.325,1.248,4.317,-0.143,166.115,30.332,5.969,7.355,25.666,4.849,-126.63,9.637,2,-0.462,1.409,7.272,317.577,9.096,9.531,2.0,1,1,0.0,4.317,177.079,1.801,1,12.133,0.0,2.978,1,0.0,-2.271,0.47,2.066,1.409,5.764,1.81,0.0,1.646,2.066,10.983,1,6.36,3.61,8,3,1.346,0.6,1784.358,2.978,0.143,29.54,-27.28,13,-0.037,2.192,-0.143,0.3,-0.143,16.537,8.105,2.139,3,5.687,-15.92,-2.391,1.231,9.531,2.126,-1.51,0.462,0.325,10.25,1.955,7.272
224,165.607,s,vinyl/acrylic,C1=Cc2cccc3cccc1c23,False,False,False,False,False,False,True,False,False,True,152.196,18.32,-0.054,-16.6,56,1.978,6.213,36.398,1.779,71.148,55.42,48.55,1.833,1.216,3.55,0.228,2.7,0,251,0.217,12.667,2.178,1.16,0.0,2.057,-0.004,1.786,4.149,1.343,144.132,47.525,0.0,6.625,0.0,0.0,57.14,0.0,3,-0.061,1.857,6.619,293.148,7.966,0.0,1.25,1,0,11.127,4.149,152.063,0.62,0,21.899,0.0,3.126,0,4.356,-1.991,0.71,2.412,1.857,6.041,2.98,0.238,0.0,2.412,2.178,0,5.949,0.26,4,0,1.216,0.463,1647.099,3.126,1.343,0.0,-36.28,12,0.002,2.524,1.719,0.0,0.0,14.097,6.012,2.298,0,0.0,-20.25,-1.756,0.667,0.0,2.643,-1.56,0.061,0.004,10.049,1.144,6.619
225,169.996,l,vinyl/acrylic,C=C[Si](C)(C)c1ccccc1,False,False,False,False,False,False,True,False,True,False,162.308,-22.21,-0.085,-15.95,58,3.053,3.931,42.61,0.854,69.583,14.24,55.704,2.182,0.955,5.05,0.17,2.113,0,238,0.185,11.091,3.87,0.652,0.0,2.169,0.103,0.836,3.858,-1.289,148.196,42.61,0.0,4.103,8.074,0.0,-23.92,0.0,1,-0.107,2.273,8.171,268.719,8.32,0.0,1.727,0,0,0.0,6.935,162.086,1.806,0,0.0,13.094,3.292,0,0.0,-2.163,0.69,4.87,0.986,6.934,3.29,1.0,8.472,2.028,3.87,0,5.166,0.44,4,0,0.955,0.585,1509.841,7.721,1.289,0.0,-54.12,11,-0.003,2.063,1.71,0.2,0.0,28.332,8.275,2.023,0,0.0,-28.81,-2.383,1.182,0.0,3.019,-0.823,0.107,0.103,10.368,0.617,7.171
226,171.705,s,ROP,S=C1CCCCCO1,False,False,True,False,False,False,False,False,False,True,130.212,-60.45,-0.05,1.0,46,3.024,4.813,0.0,0.778,55.03,-44.22,0.0,3.0,1.025,3.77,0.356,0.0,1,158,0.45,21.75,5.134,0.958,0.0,2.014,0.159,0.444,3.05,0.808,120.132,0.0,0.0,4.298,11.658,5.134,-103.67,4.737,1,-0.487,1.034,5.669,195.432,5.82,4.737,2.125,1,1,25.683,3.459,130.045,1.782,1,31.48,25.683,2.031,0,4.675,-1.972,0.1,1.61,0.806,7.796,3.2,0.037,0.846,1.288,5.134,1,3.894,3.69,9,2,1.025,0.463,1098.066,2.486,0.808,9.23,-36.27,8,0.013,1.941,0.31,0.833,0.0,32.092,6.017,2.074,1,6.421,-21.53,-1.968,1.25,4.737,2.267,-0.11,0.487,0.159,10.209,0.909,4.852
227,176.641,s,cationic,C[Si](C)(C)OP1(=O)OCCCO1,False,False,False,True,False,False,False,False,False,True,210.242,-174.42,-0.054,-10.6,72,3.596,4.29,0.0,0.331,73.953,-146.59,0.0,2.167,1.003,2.89,1.038,0.0,1,353,0.933,23.917,11.617,1.201,0.0,2.349,0.464,0.318,4.012,-3.173,195.122,0.0,7.823,4.81,21.531,26.908,-331.61,4.213,1,-0.33,4.722,9.596,293.148,9.243,17.825,1.75,1,1,6.421,8.881,210.048,3.37,1,26.062,26.062,3.671,0,0.791,-2.271,0.43,5.256,0.837,7.499,1.91,0.0,6.805,1.173,11.617,0,5.414,3.09,8,4,1.003,0.518,1647.099,10.037,0.474,44.76,-32.57,12,0.087,1.825,0.105,1.0,0.0,31.206,10.408,2.531,4,0.0,-16.48,-2.259,1.25,17.825,2.534,0.327,0.464,0.33,10.502,1.233,7.702
