,Tc (C),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,RDKIT_MolWt,PEP_dHf_1,MIX_dSsolv298(kJ/mol/K),PEP_dH_(kcal/mol),RDKIT_NumValenceElectrons,RDKIT_Kappa2,SOLUTE_L_ML,RDKIT_SlogP_VSA6,SOLUTE_E_ML,RDKIT_LabuteASA,PEP_dHf_0,RDKIT_EState_VSA8,RDKIT_FpDensityMorgan3,SOLUTE_V_ML,MIX_logK,SOLUTE_B_ML,RDKIT_VSA_EState4,RDKIT_NumSaturatedRings,STERICS_Wiener_Index,SOLUTE_B_GC,RDKIT_SPS,RDKIT_MaxEStateIndex,SOLUTE_S_ML,RDKIT_VSA_EState2,RDKIT_BCUT2D_CHGHI,RDKIT_MaxPartialCharge,SOLUTE_E_GC,RDKIT_Chi1n,RDKIT_MinEStateIndex,RDKIT_HeavyAtomMolWt,RDKIT_SMR_VSA7,RDKIT_PEOE_VSA14,SOLUTE_L_GC,RDKIT_SlogP_VSA2,RDKIT_VSA_EState1,PEP_dHf_2,RDKIT_PEOE_VSA1,RDKIT_RingCount,RDKIT_MinPartialCharge,RDKIT_Chi4v,RDKIT_Chi0v,STERICS_VDW_Volume,RDKIT_Chi0,RDKIT_SMR_VSA1,RDKIT_FpDensityMorgan2,RDKIT_NumAliphaticRings,RDKIT_NumSaturatedHeterocycles,RDKIT_SlogP_VSA5,RDKIT_Chi1v,RDKIT_ExactMolWt,RDKIT_Kappa3,RDKIT_NumAliphaticHeterocycles,RDKIT_PEOE_VSA7,RDKIT_SMR_VSA5,RDKIT_Chi2n,RDKIT_fr_lactone,RDKIT_VSA_EState7,RDKIT_BCUT2D_CHGLO,STERICS_Side_Chain_Ratio,RDKIT_Chi3v,RDKIT_Chi4n,RDKIT_BCUT2D_MRHI,MIX_logP,TANIMOTO,RDKIT_VSA_EState8,RDKIT_Chi3n,RDKIT_MaxAbsEStateIndex,RDKIT_fr_ether,RDKIT_Chi1,DIPOLE_mmff94,STERICS_Backbone_Length,RDKIT_NumHAcceptors,SOLUTE_V_GC,RDKIT_qed,STERICS_Volume,RDKIT_Chi2v,RDKIT_MinAbsEStateIndex,RDKIT_TPSA,MIX_dHsolv298(kJ/mol),RDKIT_HeavyAtomCount,SOLUTE_A_ML,RDKIT_AvgIpc,RDKIT_BCUT2D_MRLOW,RDKIT_FractionCSP3,RDKIT_VSA_EState5,RDKIT_BCUT2D_MWHI,RDKIT_Kappa1,RDKIT_BCUT2D_LOGPHI,RDKIT_NOCount,RDKIT_PEOE_VSA8,MIX_dGsolv298(kJ/mol),RDKIT_BCUT2D_LOGPLOW,RDKIT_FpDensityMorgan1,RDKIT_SlogP_VSA3,RDKIT_BalabanJ,RDKIT_HallKierAlpha,RDKIT_MaxAbsPartialCharge,RDKIT_MinAbsPartialCharge,RDKIT_BCUT2D_MWLOW,SOLUTE_S_GC,RDKIT_Chi0n
10,-503.919,l,ROP,O=C1CCCCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,212.333,-157.7,-0.076,0.0,88,8.752,7.499,0.0,0.31,93.388,-140.47,0.0,1.733,1.906,7.61,0.591,0.0,1,802,0.492,22.8,11.231,1.374,11.231,2.026,0.305,0.6,6.55,0.007,188.141,0.0,5.969,8.521,12.576,5.148,-298.17,4.737,1,-0.466,2.044,9.802,366.435,10.77,9.531,1.133,1,1,70.629,6.55,212.178,7.405,1,12.842,70.629,4.506,1,13.144,-2.066,0.06,3.038,2.044,5.687,3.84,1.0,0.638,3.038,11.231,1,7.394,1.91,16,2,1.906,0.57,2058.874,4.506,0.007,26.3,-65.97,15,0.003,2.241,-0.143,0.923,0.007,16.532,12.539,2.122,2,6.421,-43.41,-2.053,0.667,9.531,2.126,-0.53,0.466,0.305,10.055,1.46,9.802
11,-481.541,l,cyclic,CC1(C)CCCCC1,False,False,False,False,True,False,False,False,True,False,112.216,-64.57,-0.052,-0.0,48,2.083,3.601,0.0,0.245,52.288,-44.07,13.847,1.625,1.127,3.76,0.005,0.679,1,138,0.0,27.75,2.381,0.112,0.0,2.194,-0.035,0.2,3.707,0.679,96.088,0.0,0.0,3.585,0.0,0.0,-108.64,0.0,1,-0.06,1.509,6.036,195.432,6.036,0.0,1.375,1,0,45.952,3.707,112.125,1.5,0,18.257,45.952,3.725,0,7.309,-2.281,0.2,2.207,1.509,4.72,5.17,1.0,4.762,2.207,2.381,0,3.707,0.15,8,0,1.127,0.452,1098.066,3.725,0.679,0.0,-37.0,8,0.0,1.65,0.244,1.0,0.0,14.251,6.125,2.339,0,0.0,-21.43,-2.141,0.875,0.0,2.328,0.0,0.06,0.035,9.776,0.131,6.036
12,-439.731,l,ROP,CC1(C)COC(=O)c2ccc(cc2)C(=O)OCC(C)(C)COC(=O)c2ccc(cc2)C(=O)OC1,False,False,True,False,False,False,False,False,True,False,468.502,-354.97,-0.18,-0.0,180,10.072,17.291,48.531,2.317,197.692,-337.74,0.0,0.794,3.486,18.12,1.989,-0.166,0,5312,2.267,19.176,12.405,2.881,49.622,2.258,0.338,2.185,10.845,-0.636,440.278,70.785,23.877,15.072,50.305,21.501,-692.71,18.947,6,-0.461,2.945,19.713,830.587,24.933,38.126,0.618,4,0,69.127,10.845,468.178,6.664,4,48.531,27.695,9.788,0,0.0,-2.24,0.33,5.089,2.945,5.939,3.94,1.0,7.256,5.089,12.405,4,15.956,1.6,24,8,3.486,0.421,4666.781,9.788,0.017,105.2,-157.3,34,0.084,2.826,0.005,0.385,-2.222,16.555,24.953,2.207,8,10.83,-103.38,-2.289,0.441,18.947,1.81,-3.68,0.461,0.338,9.959,2.935,19.713
13,-382.098,l,ROP,CC1COC(=O)c2ccc(cc2)C(=O)OCC(C)COC(=O)c2ccc(cc2)C(=O)OC1,False,False,True,False,False,False,False,False,True,False,440.448,-339.63,-0.19,-0.0,168,10.567,16.078,48.531,2.314,184.962,-322.4,0.0,0.844,3.204,17.51,1.948,1.142,0,4699,2.267,20.938,12.221,2.925,48.884,2.17,0.338,2.266,10.218,-0.545,416.256,70.785,23.877,14.723,50.305,21.036,-662.03,18.947,6,-0.462,2.786,17.868,781.729,23.087,38.126,0.656,4,0,55.279,10.218,440.147,6.164,4,48.531,13.847,7.759,0,0.0,-2.143,0.29,4.708,2.786,5.938,3.6,1.0,3.769,4.708,12.221,4,15.329,1.84,24,8,3.204,0.454,4392.265,7.759,0.054,105.2,-155.78,32,0.11,2.819,0.026,0.333,-2.641,16.553,22.993,2.123,8,11.836,-99.9,-2.198,0.469,18.947,1.738,-3.68,0.462,0.338,10.119,3.156,17.868
14,-353.15,l,ROP,CN1CCCCC1=O,False,False,True,False,False,False,False,False,True,False,113.16,-71.71,-0.087,-5.1,46,2.159,4.253,0.0,0.536,49.479,-50.66,0.0,2.625,0.961,5.22,0.843,0.0,1,151,0.779,21.625,10.72,1.064,12.515,2.115,0.222,0.368,3.045,0.302,102.072,0.0,0.0,4.498,24.4,0.0,-127.47,4.9,1,-0.346,0.941,5.184,195.432,5.983,4.795,2.25,1,1,19.262,3.045,113.084,0.997,1,12.842,19.262,2.272,0,3.03,-2.207,0.2,1.56,0.941,5.759,0.29,1.0,0.957,1.56,10.72,0,3.805,3.72,8,1,0.961,0.451,1098.066,2.272,0.302,20.31,-55.65,8,-0.002,1.768,-0.131,0.833,0.302,16.152,5.604,2.063,2,20.013,-29.78,-2.305,1.5,4.795,2.393,-0.53,0.346,0.222,10.136,1.352,5.184
15,-353.15,l,ROP,O=C1CCCCCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,226.36,-162.6,-0.076,0.0,94,9.679,7.942,0.0,0.302,99.753,-145.37,0.0,1.625,2.047,7.98,0.592,0.0,1,954,0.508,22.875,11.299,1.372,11.299,2.025,0.305,0.512,7.05,0.009,200.152,0.0,5.969,8.295,12.576,5.179,-307.97,4.737,1,-0.466,2.221,10.509,390.864,11.477,9.531,1.062,1,1,77.05,7.05,226.193,7.722,1,12.842,77.05,4.86,1,14.542,-2.037,0.06,3.288,2.221,5.687,4.3,1.0,0.638,3.288,11.299,1,7.894,1.93,17,2,2.047,0.578,2196.132,4.86,0.009,26.3,-68.33,16,0.002,2.291,-0.143,0.929,0.009,16.532,13.535,2.126,2,6.421,-45.52,-2.05,0.625,9.531,2.128,-0.53,0.466,0.305,10.055,1.43,10.509
16,-273.15,l,ROP,O=C1CCCCCCCCCCCCCCCO1,False,False,True,False,False,False,False,False,True,False,254.414,-172.4,-0.079,0.0,106,11.554,8.822,0.0,0.295,112.483,-155.17,0.0,1.444,2.329,8.71,0.603,0.0,1,1313,0.487,23.0,11.409,1.387,11.409,2.024,0.305,0.696,8.05,0.013,224.174,0.0,5.969,9.287,12.576,5.229,-327.57,4.737,1,-0.466,2.574,11.923,439.722,12.891,9.531,0.944,1,1,89.892,8.05,254.225,9.495,1,12.842,89.892,5.567,1,17.379,-2.043,0.05,3.788,2.574,5.687,5.24,1.0,0.638,3.788,11.409,1,8.894,1.89,19,2,2.329,0.568,2470.649,5.567,0.013,26.3,-73.33,18,0.003,2.374,-0.143,0.938,0.013,16.532,15.527,2.134,2,6.421,-49.68,-2.051,0.556,9.531,2.114,-0.53,0.466,0.305,10.046,1.625,11.923
45,-260.598,l,ROP,CC1OCCCOC(=O)C(C)OCCCOC1=O,True,False,True,False,False,False,False,False,True,False,260.286,-291.73,-0.12,0.0,104,8.048,8.093,0.0,0.509,106.525,-274.7,0.0,1.556,1.957,9.92,1.484,0.0,1,1116,1.706,29.0,11.427,1.883,22.854,2.173,0.334,0.819,6.175,-0.594,240.126,0.0,11.939,8.968,50.574,20.53,-566.43,18.947,1,-0.464,1.354,10.847,439.722,13.38,28.537,1.167,1,1,26.689,6.175,260.126,5.463,1,13.847,38.897,4.068,2,-0.112,-2.157,0.2,2.466,1.354,5.741,0.18,1.0,4.484,2.466,11.427,4,8.609,2.41,16,6,1.957,0.596,2470.649,4.068,0.258,71.06,-92.57,18,0.016,2.354,-0.162,0.833,-0.755,16.586,14.919,2.016,6,12.842,-56.62,-2.276,0.778,28.537,2.411,-1.14,0.464,0.334,10.349,1.622,10.847
46,-251.32,s,ROP,CC1COCC(=O)OCC(C)COCC(=O)OC1,False,False,True,False,False,False,False,False,False,True,260.286,-286.63,-0.053,0.0,104,8.048,8.413,0.0,0.55,106.525,-269.4,0.0,1.556,1.957,3.52,1.463,0.0,1,1116,1.549,29.0,11.284,2.032,22.568,2.13,0.332,0.644,6.043,-0.386,240.126,0.0,11.939,9.753,51.58,20.355,-556.03,18.947,1,-0.464,1.337,10.847,439.722,13.38,28.537,1.167,1,1,13.847,6.043,260.126,6.56,1,0.0,13.847,4.607,2,0.0,-2.157,0.2,2.302,1.337,5.706,2.95,0.067,4.787,2.302,11.284,4,8.575,2.03,16,6,1.957,0.587,2470.649,4.607,0.031,71.06,-35.89,18,-0.001,2.328,-0.157,0.833,-0.71,16.58,14.919,2.017,6,11.836,-20.09,-2.25,0.778,28.537,2.411,-1.14,0.464,0.332,10.201,1.605,10.847
47,-249.786,s,ROP,O=C1CCCCCCCCC=CCCCCCO1,False,False,True,False,False,False,False,False,False,True,252.398,-144.1,-0.052,-0.0,104,11.309,8.6,12.152,0.472,111.793,-126.87,12.152,2.0,2.286,3.58,0.676,0.0,0,1313,0.561,22.111,11.397,1.132,11.397,2.019,0.305,0.829,7.7,-0.001,224.174,12.152,5.969,9.272,12.576,5.21,-270.97,4.737,1,-0.466,2.274,11.664,439.722,12.891,9.531,1.278,1,0,77.05,7.7,252.209,9.262,1,44.946,77.05,5.201,1,18.446,-2.041,0.05,3.447,2.274,5.687,3.01,0.062,0.614,3.447,11.397,1,8.894,1.89,19,2,2.286,0.458,2470.649,5.201,0.001,26.3,-35.77,18,0.008,2.374,-0.143,0.812,-0.001,16.532,15.268,2.104,2,6.421,-20.42,-2.051,0.722,9.531,2.171,-0.79,0.466,0.305,10.078,1.648,11.664
