,dS (cal/mol/K),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,MIX_dGsolv298(kJ/mol),MIX_logK,SOLUTE_B_ML,SOLUTE_S_ML,RDKIT_SPS,PEP_dH_(kcal/mol),MIX_dHsolv298(kJ/mol),RDKIT_NumAliphaticRings,RDKIT_FractionCSP3,RDKIT_BCUT2D_LOGPLOW,SOLUTE_B_GC,SOLUTE_S_GC,MIX_dSsolv298(kJ/mol/K),STERICS_Side_Chain_Ratio,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_CHGHI,SOLUTE_E_GC,RDKIT_RingCount,MIX_logP,RDKIT_BalabanJ,RDKIT_Kappa3,RDKIT_MaxEStateIndex,RDKIT_MaxAbsEStateIndex,STERICS_Volume,RDKIT_VSA_EState1,TANIMOTO,RDKIT_MinPartialCharge,RDKIT_BCUT2D_CHGLO,RDKIT_MinEStateIndex,RDKIT_MaxAbsPartialCharge,DIPOLE_mmff94,SOLUTE_L_ML,SOLUTE_L_GC,RDKIT_HeavyAtomCount,RDKIT_NumAliphaticHeterocycles,RDKIT_VSA_EState2,STERICS_Wiener_Index,RDKIT_Chi1,RDKIT_PEOE_VSA7,RDKIT_fr_lactone,STERICS_VDW_Volume,RDKIT_Chi1v,RDKIT_BCUT2D_MRHI,RDKIT_Chi1n,RDKIT_Chi4v,RDKIT_SlogP_VSA2,RDKIT_EState_VSA8,PEP_dHf_2,RDKIT_NumSaturatedRings,PEP_dHf_0,RDKIT_Chi3v,RDKIT_SlogP_VSA3,RDKIT_PEOE_VSA14,RDKIT_NumHAcceptors,RDKIT_MinAbsEStateIndex,RDKIT_HallKierAlpha,RDKIT_Chi2n,PEP_dHf_1,RDKIT_Chi3n,RDKIT_NumValenceElectrons,RDKIT_AvgIpc,RDKIT_fr_ether,RDKIT_Chi0n,RDKIT_TPSA,RDKIT_NumSaturatedHeterocycles,RDKIT_qed,RDKIT_Chi0,RDKIT_NOCount,RDKIT_VSA_EState7,RDKIT_Chi2v,SOLUTE_E_ML,RDKIT_Chi4n,RDKIT_Chi0v,RDKIT_SMR_VSA5,RDKIT_PEOE_VSA1,RDKIT_LabuteASA,RDKIT_MaxPartialCharge,RDKIT_Kappa2,SOLUTE_V_GC
193,-7.792,s,ROP,CC1OC(=O)C(C)SC1=O,False,False,True,False,False,False,False,False,False,True,8,-16.98,2.98,0.845,1.554,33.8,0.0,-27.12,1,0.667,-2.338,0.832,0.955,-0.034,0.33,2.5,2.308,0.715,1,2.0,2.631,1.315,10.836,10.836,1372.583,4.701,0.0,-0.453,-2.203,-0.561,0.453,2.5,5.358,4.494,10,1,21.591,216,4.609,13.847,1,244.29,3.9,8.145,3.02,1.376,22.438,0.0,-289.55,1,-136.26,2.36,14.326,5.969,4,0.063,-0.51,2.158,-153.29,1.25,56,1.841,1,5.788,43.37,1,0.486,7.724,3,-0.561,3.503,0.78,0.636,6.604,25.201,4.737,63.118,0.319,2.617,1.099
194,-13.337,s,ROP,O=C1OC2CCCC1C2,False,False,True,False,False,False,False,False,False,True,7,-19.96,3.5,0.588,0.98,40.667,-11.5,-35.79,2,0.857,-2.099,0.465,1.17,-0.053,0.36,3.0,2.365,0.484,2,2.93,2.151,0.732,10.834,10.834,1235.324,5.046,0.032,-0.462,-2.116,0.053,0.462,4.14,4.389,4.582,9,1,10.834,156,4.36,25.683,0,219.861,3.566,5.744,3.566,1.727,12.073,0.0,-210.85,2,-95.48,2.242,9.531,5.969,2,0.053,-0.53,2.922,-103.87,2.242,50,2.092,1,5.3,26.3,1,0.454,6.268,2,4.633,2.922,0.463,1.727,5.3,31.787,4.737,54.192,0.309,1.723,0.952
195,-8.126,l,ROP,CC1CCCOC1=O,False,False,True,False,False,False,False,False,True,False,8,-30.26,5.3,0.62,1.349,29.625,-10.6,-50.04,1,0.833,-2.205,0.438,0.935,-0.066,0.2,2.875,2.173,0.37,1,1.05,2.393,0.997,10.572,10.572,1098.066,4.751,1.0,-0.465,-2.154,-0.031,0.465,4.08,4.496,4.36,8,1,10.572,143,3.805,12.842,1,195.432,2.971,5.719,2.971,0.822,12.576,0.0,-233.09,1,-97.33,1.428,9.531,5.969,2,0.031,-0.53,2.211,-125.16,1.428,46,1.768,1,5.015,26.3,1,0.438,5.983,2,2.033,2.211,0.367,0.822,5.015,19.765,4.737,48.833,0.308,2.159,0.92
196,-9.656,s,ROP,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,False,False,True,False,False,False,False,False,False,True,7,-16.59,2.91,1.142,1.329,29.8,-6.8,-28.94,2,0.8,-2.438,1.268,1.32,-0.041,0.59,2.667,2.478,0.876,2,1.93,2.011,2.117,11.739,11.739,2058.874,5.248,0.0,-0.444,-2.285,-0.491,0.444,4.61,7.241,7.017,15,2,24.733,514,6.866,27.192,0,366.435,5.947,8.144,5.068,3.094,39.546,0.0,-321.47,2,-145.96,3.625,9.531,6.093,4,0.108,-0.71,4.943,-168.71,2.446,84,2.576,1,9.149,46.61,2,0.633,11.215,4,0.437,6.248,1.018,1.871,9.966,44.085,4.737,93.332,0.41,3.402,1.654
197,-10.66,s,ROP,CC1(C)CCCOC1=O,False,False,True,False,False,False,False,False,False,True,8,-21.14,3.71,0.624,1.291,25.333,-10.6,-35.4,1,0.857,-2.31,0.392,1.062,-0.048,0.27,2.556,2.313,0.362,1,3.13,2.598,1.232,10.894,10.894,1235.324,4.854,0.071,-0.465,-2.262,-0.224,0.465,4.07,4.579,4.63,9,1,10.894,174,4.128,26.689,1,219.861,3.3,5.759,3.3,0.976,12.576,0.0,-253.21,1,-107.39,1.732,9.531,5.969,2,0.047,-0.53,3.123,-135.22,1.732,52,1.768,1,5.938,26.3,1,0.46,6.906,2,1.977,3.123,0.335,0.976,5.938,26.689,4.737,55.198,0.311,2.011,1.061
198,-21.2,s,ROP,O=C1OC2C=CCC1C2,False,False,True,False,False,False,False,False,False,True,7,-19.93,3.49,0.587,1.019,38.889,-8.0,-35.75,2,0.571,-2.054,0.442,1.227,-0.053,0.36,3.222,2.338,0.494,2,2.92,2.258,0.661,10.794,10.794,1235.324,4.959,0.062,-0.458,-2.043,-0.009,0.458,4.08,4.094,4.668,9,1,10.794,156,4.36,12.497,0,219.861,3.232,5.752,3.232,1.375,12.073,0.0,-150.37,1,-68.74,1.889,9.531,5.969,2,0.009,-0.79,2.572,-73.63,1.889,48,2.092,1,5.04,26.3,1,0.354,6.268,2,5.909,2.572,0.561,1.375,5.04,18.946,4.737,53.503,0.309,1.593,0.909
199,-10.994,l,ROP,O=C1NCCCO1,False,False,True,False,False,False,False,False,True,False,8,-41.26,7.23,0.658,1.3,20.286,-13.8,-70.11,1,0.75,-2.311,0.581,0.95,-0.097,0.11,2.857,2.041,0.482,1,0.0,2.25,1.066,10.13,10.13,960.808,4.528,1.0,-0.449,-2.103,-0.286,0.449,4.89,4.118,3.336,7,1,10.13,114,3.394,6.421,1,171.003,2.3,5.671,2.3,0.479,19.245,10.054,-200.54,1,-86.72,0.824,4.737,6.093,2,0.286,-0.73,1.416,-100.02,0.824,40,1.686,1,3.938,38.33,1,0.47,5.113,3,0.65,1.416,0.49,0.479,3.938,6.421,10.054,41.653,0.407,1.818,0.738
200,-5.497,s,ROP,O=C1CCC(=O)OC1,False,False,True,False,False,False,False,False,False,True,8,-19.45,3.41,0.811,1.74,20.5,0.0,-30.81,1,0.6,-2.202,0.88,1.346,-0.038,0.2,2.375,2.144,0.471,1,2.65,2.401,1.055,10.331,10.331,1098.066,4.402,0.0,-0.458,-2.071,-0.26,0.458,2.66,4.264,4.5,8,1,20.566,143,3.788,0.0,1,195.432,2.462,5.881,2.462,0.547,18.359,4.737,-248.87,1,-125.99,1.002,14.326,5.969,3,0.015,-0.86,1.699,-122.88,1.002,44,1.77,1,4.346,43.37,1,0.413,5.983,3,0.623,1.699,0.545,0.547,4.346,12.842,4.737,46.63,0.306,1.942,0.795
202,-9.704,s,ROP,CC1(c2ccccc2)COC(=O)OC1,False,False,True,False,False,False,False,False,False,True,8,-16.94,2.97,0.73,1.744,19.643,-1.7,-32.53,1,0.364,-2.4,0.686,1.302,-0.052,0.5,2.286,2.34,0.856,2,0.39,2.21,1.575,10.738,10.738,1921.616,9.773,0.067,-0.433,-2.32,-0.571,0.508,4.7,6.283,5.919,14,1,10.738,446,6.706,12.487,2,342.006,4.558,5.608,4.558,1.527,19.369,0.0,-252.57,1,-115.97,2.488,14.889,6.155,3,0.213,-1.51,3.754,-134.9,2.488,74,2.242,2,8.026,35.53,1,0.639,10.019,3,-0.571,3.754,0.816,1.527,8.026,12.339,9.474,82.639,0.508,3.328,1.445
203,-10.899,s,ROP,CCC1(CC)COC(=O)OC1,False,False,True,False,False,False,False,False,False,True,8,-17.28,3.03,0.656,1.281,22.182,-1.7,-31.92,1,0.875,-2.378,0.465,0.709,-0.049,0.38,2.091,2.336,0.218,1,0.45,2.517,1.643,10.538,10.538,1509.841,9.629,0.08,-0.434,-2.331,-0.525,0.508,4.76,4.904,4.042,11,1,10.538,262,5.222,12.842,2,268.719,4.018,5.602,4.018,1.166,19.369,13.847,-340.77,1,-160.07,2.492,9.474,6.155,3,0.077,-0.73,3.034,-179.0,2.492,64,2.072,2,7.053,35.53,1,0.576,8.32,3,1.468,3.034,0.3,1.166,7.053,26.689,9.474,66.677,0.508,3.113,1.26
204,-10.277,s,ROP,CC1OC(=O)C(C)OC1=O,False,False,True,False,False,False,False,False,False,True,8,-27.93,4.9,0.722,1.416,33.0,-20.5,-44.87,1,0.667,-2.404,1.013,1.093,-0.057,0.33,1.6,2.315,0.566,1,-0.77,2.631,1.097,10.651,10.651,1372.583,9.194,0.1,-0.448,-2.219,-0.747,0.448,2.48,4.22,4.37,10,1,21.301,216,4.609,13.847,2,244.29,3.02,5.863,3.02,0.636,24.147,9.474,-390.75,1,-166.36,1.25,19.063,11.939,4,0.48,-1.06,2.158,-203.89,1.25,56,1.841,2,5.788,52.6,1,0.444,7.724,4,-1.493,2.158,0.463,0.636,5.788,26.055,9.474,58.108,0.347,2.284,0.994
205,-45.172,g,cationic,CC1CO1,False,False,False,True,False,False,False,True,False,False,5,0.0,0.0,0.348,0.728,39.75,-26.9,0.0,1,1.0,-1.595,0.315,0.397,0.0,0.17,2.25,2.127,0.083,1,0.0,2.171,0.206,4.708,4.708,549.033,4.708,-1.0,-0.373,-1.505,0.583,0.373,1.79,1.804,1.807,4,1,0.0,32,1.894,6.924,0,97.716,1.51,4.577,1.51,0.096,12.711,6.924,-118.04,1,-21.87,0.5,4.737,0.0,1,0.583,-0.04,1.144,-69.27,0.5,24,1.75,1,2.693,12.53,1,0.367,2.992,1,0.583,1.144,0.246,0.096,2.693,13.028,4.737,25.577,0.078,0.462,0.481
206,-5.258,s,ROP,CC1OC(=O)C(C)OC1=O,False,False,True,False,False,False,False,False,False,True,8,-32.55,5.71,0.722,1.416,33.0,-20.5,-49.73,1,0.667,-2.404,1.013,1.093,-0.058,0.33,1.6,2.315,0.566,1,-1.77,2.631,1.097,10.651,10.651,1372.583,9.194,0.118,-0.448,-2.219,-0.747,0.448,2.42,4.22,4.37,10,1,21.301,216,4.609,13.847,2,244.29,3.02,5.863,3.02,0.636,24.147,9.474,-390.75,1,-166.36,1.25,19.063,11.939,4,0.48,-1.06,2.158,-203.89,1.25,56,1.841,2,5.788,52.6,1,0.444,7.724,4,-1.493,2.158,0.463,0.636,5.788,26.055,9.474,58.108,0.347,2.284,0.994
207,-9.13,s,ROP,O=C1CSCCO1,False,False,True,False,False,False,False,False,False,True,8,-17.05,2.99,0.727,1.602,21.429,0.0,-27.9,1,0.75,-2.153,0.689,1.418,-0.036,0.11,2.857,2.066,0.737,1,2.01,2.25,1.389,10.22,10.22,960.808,4.618,0.0,-0.464,-2.076,-0.073,0.464,3.32,4.659,4.358,7,1,10.22,114,3.394,0.0,1,171.003,3.283,7.995,2.128,1.007,24.082,4.737,-188.23,1,-82.3,1.606,9.531,5.969,3,0.073,-0.18,1.273,-105.93,0.711,40,1.686,1,3.846,26.3,1,0.427,5.113,2,0.0,2.378,0.787,0.412,4.663,0.0,4.737,46.226,0.315,2.211,0.802
208,-22.945,s,vinyl/acrylic,C=C(C)c1ncco1,True,False,False,False,False,False,True,False,False,True,4,-17.33,3.04,0.442,0.699,9.125,-18.08,-30.72,0,0.167,-1.716,0.462,0.876,-0.045,0.6,2.875,1.925,0.564,1,0.46,2.928,0.78,4.884,4.884,1098.066,4.884,0.036,-0.445,-1.839,0.616,0.445,1.11,3.751,3.981,8,0,3.85,113,3.805,6.924,0,195.432,2.359,5.515,2.359,0.434,4.984,11.563,-29.44,0,13.61,0.797,0.0,0.0,2,0.616,-1.05,1.618,-24.97,0.797,42,2.116,0,4.717,26.03,0,0.548,5.983,2,3.133,1.618,0.603,0.434,4.717,6.924,4.417,47.851,0.22,1.82,0.875
209,-10.994,s,ROP,CC1OC(=O)C(C)OC1=O,False,False,True,False,False,False,False,False,False,True,8,-30.38,5.33,0.722,1.416,33.0,-20.5,-53.21,1,0.667,-2.404,1.013,1.093,-0.077,0.33,1.6,2.315,0.566,1,0.42,2.631,1.097,10.651,10.651,1372.583,9.194,0.409,-0.448,-2.219,-0.747,0.448,2.44,4.22,4.37,10,1,21.301,216,4.609,13.847,2,244.29,3.02,5.863,3.02,0.636,24.147,9.474,-390.75,1,-166.36,1.25,19.063,11.939,4,0.48,-1.06,2.158,-203.89,1.25,56,1.841,2,5.788,52.6,1,0.444,7.724,4,-1.493,2.158,0.463,0.636,5.788,26.055,9.474,58.108,0.347,2.284,0.994
210,-16.491,s,vinyl/acrylic,C=C(C)c1nccs1,False,False,False,False,False,False,True,False,False,True,4,-17.5,3.07,0.476,0.892,9.125,-18.08,-30.64,0,0.167,-1.69,0.444,1.035,-0.044,0.6,2.875,1.904,0.817,1,0.49,2.928,0.954,4.035,4.035,1098.066,0.0,0.0,-0.245,-1.844,1.032,0.245,0.69,4.388,4.632,8,0,4.035,113,3.805,12.497,0,195.432,3.238,7.102,2.359,1.008,4.984,11.563,64.56,0,60.61,1.732,0.0,0.0,2,1.032,-0.63,1.618,22.03,0.797,42,2.116,0,4.717,12.89,0,0.56,5.983,1,1.786,2.512,0.884,0.434,5.534,6.924,0.0,52.697,0.118,2.092,0.98
211,-5.473,l,ROP,C=CC1CCC(=CC)C(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-33.36,5.85,0.611,1.267,28.273,-7.1,-62.62,1,0.444,-2.229,0.582,0.774,-0.098,0.38,2.909,2.209,0.701,1,2.75,2.615,1.699,11.056,11.056,1509.841,5.014,1.0,-0.455,-2.202,-0.191,0.455,4.45,4.992,5.049,11,1,11.056,280,5.274,19.765,1,268.719,3.763,5.887,3.763,1.1,12.073,6.579,-141.49,1,-63.26,1.83,9.531,5.969,2,0.078,-1.05,2.532,-71.13,1.83,60,2.041,1,6.67,26.3,1,0.325,8.268,2,5.082,2.532,0.551,1.1,6.67,25.869,4.737,66.549,0.334,3.373,1.256
212,-11.52,l,ROP,CCCCCC1CCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-38.12,6.68,0.613,1.46,23.75,-10.6,-67.62,1,0.9,-2.227,0.374,1.29,-0.099,0.43,3.0,2.186,0.346,1,3.18,2.098,3.245,10.884,10.884,1647.099,5.194,1.0,-0.462,-2.213,0.003,0.462,4.07,6.076,6.124,12,1,10.884,384,5.826,25.683,1,293.148,5.021,5.696,5.021,1.603,12.073,6.924,-258.13,1,-120.02,2.335,9.531,5.969,2,0.003,-0.53,3.5,-127.51,2.335,70,2.05,1,7.844,26.3,1,0.479,8.812,2,7.732,3.5,0.345,1.603,7.844,57.973,4.737,74.293,0.306,5.175,1.483
213,-31.071,s,vinyl/acrylic,C=C(C)C(=O)OC,False,False,False,False,False,False,True,False,False,True,4,-27.22,4.77,0.432,0.538,7.714,-22.74,-48.79,0,0.4,-1.984,0.455,0.566,-0.072,0.56,2.143,1.95,0.201,0,3.81,3.578,1.978,10.19,10.19,960.808,4.273,0.0,-0.466,-1.91,-0.347,0.466,1.99,2.834,2.862,7,0,10.19,88,3.181,6.924,0,171.003,1.92,5.862,1.92,0.174,13.079,11.316,-230.34,0,-82.18,0.534,9.531,5.969,2,0.347,-0.79,1.272,-125.42,0.534,40,1.646,1,4.524,26.3,0,0.359,5.862,2,0.0,1.272,0.252,0.174,4.524,6.924,4.737,42.784,0.332,2.395,0.844
214,-21.941,g,cationic,C1CCCOCC1,False,False,False,True,False,False,False,True,False,False,9,0.0,0.0,0.454,0.584,24.0,-5.3,0.0,1,1.0,-1.888,0.48,0.42,0.0,0.0,1.857,1.947,0.169,1,0.0,2.042,1.929,5.194,5.194,960.808,5.194,-1.0,-0.381,-1.911,1.0,0.381,1.63,3.596,3.445,7,1,0.0,120,3.5,12.842,0,171.003,3.077,4.459,3.077,0.864,13.214,0.0,-137.74,1,-53.32,1.327,4.737,0.0,1,1.0,-0.04,2.027,-79.12,1.327,42,1.902,1,4.651,9.23,1,0.449,4.95,1,5.306,2.027,0.328,0.864,4.651,25.683,4.737,44.672,0.047,3.027,0.904
