,dS (cal/mol/K),BASE_Monomer_State,BASE_Category,Canonical SMILES,Global_Test,BASE_Category_ROMP,BASE_Category_ROP,BASE_Category_cationic,BASE_Category_cyclic,BASE_Category_ionic,BASE_Category_vinyl/acrylic,BASE_Monomer_State_g,BASE_Monomer_State_l,BASE_Monomer_State_s,STERICS_Backbone_Length,MIX_dGsolv298(kJ/mol),MIX_logK,SOLUTE_B_ML,SOLUTE_S_ML,RDKIT_SPS,PEP_dH_(kcal/mol),MIX_dHsolv298(kJ/mol),RDKIT_NumAliphaticRings,RDKIT_FractionCSP3,RDKIT_BCUT2D_LOGPLOW,SOLUTE_B_GC,SOLUTE_S_GC,MIX_dSsolv298(kJ/mol/K),STERICS_Side_Chain_Ratio,RDKIT_FpDensityMorgan3,RDKIT_BCUT2D_CHGHI,SOLUTE_E_GC,RDKIT_RingCount,MIX_logP,RDKIT_BalabanJ,RDKIT_Kappa3,RDKIT_MaxEStateIndex,RDKIT_MaxAbsEStateIndex,STERICS_Volume,RDKIT_VSA_EState1,TANIMOTO,RDKIT_MinPartialCharge,RDKIT_BCUT2D_CHGLO,RDKIT_MinEStateIndex,RDKIT_MaxAbsPartialCharge,DIPOLE_mmff94,SOLUTE_L_ML,SOLUTE_L_GC,RDKIT_HeavyAtomCount,RDKIT_NumAliphaticHeterocycles,RDKIT_VSA_EState2,STERICS_Wiener_Index,RDKIT_Chi1,RDKIT_PEOE_VSA7,RDKIT_fr_lactone,STERICS_VDW_Volume,RDKIT_Chi1v,RDKIT_BCUT2D_MRHI,RDKIT_Chi1n,RDKIT_Chi4v,RDKIT_SlogP_VSA2,RDKIT_EState_VSA8,PEP_dHf_2,RDKIT_NumSaturatedRings,PEP_dHf_0,RDKIT_Chi3v,RDKIT_SlogP_VSA3,RDKIT_PEOE_VSA14,RDKIT_NumHAcceptors,RDKIT_MinAbsEStateIndex,RDKIT_HallKierAlpha,RDKIT_Chi2n,PEP_dHf_1,RDKIT_Chi3n,RDKIT_NumValenceElectrons,RDKIT_AvgIpc,RDKIT_fr_ether,RDKIT_Chi0n,RDKIT_TPSA,RDKIT_NumSaturatedHeterocycles,RDKIT_qed,RDKIT_Chi0,RDKIT_NOCount,RDKIT_VSA_EState7,RDKIT_Chi2v,SOLUTE_E_ML,RDKIT_Chi4n,RDKIT_Chi0v,RDKIT_SMR_VSA5,RDKIT_PEOE_VSA1,RDKIT_LabuteASA,RDKIT_MaxPartialCharge,RDKIT_Kappa2,SOLUTE_V_GC
179,-9.25,s,ROP,CC1CC(=O)O1,False,False,True,False,False,False,False,False,False,True,6,-16.88,2.96,0.495,1.326,31.5,-23.9,-28.6,1,0.75,-2.287,0.406,1.299,-0.039,0.25,2.5,2.219,0.29,1,1.98,2.278,0.379,9.888,9.888,823.55,4.5,0.0,-0.462,-2.197,-0.067,0.462,3.78,3.214,3.245,6,1,9.888,71,2.788,6.924,1,146.574,1.983,5.744,1.983,0.449,12.073,4.737,-199.33,1,-77.32,0.787,9.531,5.969,2,0.067,-0.53,1.505,-98.11,0.787,34,1.325,1,3.601,26.3,1,0.397,4.569,2,0.803,1.505,0.326,0.449,3.601,19.449,4.737,36.103,0.309,0.965,0.638
180,-37.046,s,ionic,O=CC(F)(F)F,False,False,False,False,False,True,False,False,False,True,4,-14.25,2.5,0.281,0.437,11.167,-15.8,-27.18,0,0.5,-2.065,0.4,0.285,-0.043,0.5,1.5,2.244,-0.093,0,1.52,3.446,3.46,10.417,10.417,823.55,31.25,0.0,-0.293,-1.87,-4.639,0.446,2.47,1.007,0.564,6,0,8.701,63,2.561,0.0,0,146.574,1.091,5.561,1.091,0.0,12.462,0.0,-406.33,0,-181.68,0.134,4.795,6.176,1,1.062,-0.54,0.659,-208.85,0.134,36,1.352,0,2.619,17.07,0,0.408,5.207,1,-5.701,0.659,-0.169,0.0,2.619,6.176,0.0,31.762,0.446,1.279,0.459
181,-24.068,s,vinyl/acrylic,C=C(C)C(=O)Oc1c(C)cccc1C,False,False,False,False,False,False,True,False,False,True,4,-15.11,2.65,0.556,0.919,9.643,-22.74,-28.86,0,0.25,-2.095,0.57,1.022,-0.046,0.75,2.214,2.089,0.795,1,1.67,2.968,2.222,11.295,11.295,1921.616,5.199,0.0,-0.423,-2.09,-0.373,0.423,2.45,6.017,6.508,14,0,11.295,435,6.52,31.898,0,342.006,4.46,5.887,4.46,1.14,5.969,6.579,-196.56,0,-65.29,1.952,4.795,5.969,2,0.373,-1.57,3.391,-108.53,1.952,74,2.107,1,8.756,26.3,0,0.407,10.715,2,0.0,3.391,0.785,1.14,8.756,20.771,4.737,84.207,0.338,4.093,1.593
182,-26.004,s,vinyl/acrylic,C=C1CCCOC1=O,True,False,False,False,False,False,True,False,False,True,4,-25.89,4.54,0.549,1.335,20.5,-19.72,-43.38,1,0.5,-2.135,0.556,0.589,-0.059,0.6,2.75,2.119,0.545,1,-1.13,2.517,0.886,10.472,10.472,1098.066,4.652,0.037,-0.462,-2.108,-0.226,0.462,4.52,3.858,3.301,8,1,10.472,109,3.805,12.842,1,195.432,2.654,5.877,2.654,0.655,12.576,11.316,-204.18,1,-72.17,1.145,9.531,5.969,2,0.226,-0.79,1.843,-112.29,1.145,44,1.768,1,4.645,26.3,1,0.343,5.983,2,1.739,1.843,0.507,0.655,4.645,12.842,4.737,48.144,0.333,1.987,0.877
183,-12.882,s,ROP,CCCCC1(CCCC)CCCOC1=O,False,False,True,False,False,False,False,False,False,True,8,-20.56,3.6,0.65,1.196,20.0,-10.6,-35.73,1,0.923,-2.37,0.392,1.062,-0.051,0.53,2.267,2.4,0.362,1,3.03,2.594,3.217,11.906,11.906,2058.874,5.249,0.056,-0.465,-2.347,-0.121,0.465,4.0,7.331,7.585,15,1,11.906,554,7.249,25.683,1,366.435,6.422,5.769,6.422,2.44,12.576,13.847,-312.01,1,-136.79,3.484,9.531,5.969,2,0.079,-0.53,4.727,-164.62,3.484,88,2.267,1,10.18,26.3,1,0.628,11.148,2,8.801,4.727,0.283,2.44,10.18,65.214,4.737,93.388,0.312,6.14,1.906
184,-14.579,s,ROP,S=C1OC2C=CCOC2CS1,False,False,True,False,False,False,False,False,False,True,8,-17.36,3.04,0.678,1.303,36.182,0.0,-31.02,2,0.571,-2.392,0.736,1.328,-0.046,0.38,3.455,2.293,1.216,2,0.47,2.08,1.576,5.438,5.438,1509.841,11.451,0.059,-0.468,-2.314,0.067,0.468,4.18,6.277,6.685,11,2,0.0,264,5.36,18.294,0,268.719,4.871,8.222,3.478,2.222,28.95,0.0,-73.64,1,-26.93,2.973,9.474,0.0,4,0.067,-0.06,2.443,-46.71,1.696,60,2.041,2,5.857,18.46,1,0.422,7.682,2,4.272,4.065,1.362,1.141,7.49,12.208,9.474,74.937,0.22,3.127,1.236
186,-5.258,s,cationic,C1COCO1,False,False,False,True,False,False,False,False,False,True,7,-22.02,3.86,0.59,0.629,24.0,-6.0,-38.76,1,1.0,-1.785,0.59,0.543,-0.056,0.0,1.8,1.934,0.204,1,3.29,2.083,0.597,4.722,4.722,686.291,9.444,0.0,-0.353,-1.756,0.5,0.353,1.67,1.967,1.984,5,1,0.0,56,2.5,0.0,0,122.145,1.655,4.284,1.655,0.295,20.007,0.0,-177.1,1,-72.3,0.539,9.474,0.0,2,0.5,-0.08,0.934,-98.8,0.539,30,1.76,2,2.938,18.46,1,0.402,3.536,2,0.0,0.934,0.296,0.295,2.938,0.0,9.474,30.69,0.146,1.381,0.54
187,-15.057,s,ROP,O=C1OC2CCCCC2O1,False,False,True,False,False,False,False,False,False,True,7,-17.96,3.15,0.604,0.88,38.2,0.0,-31.73,2,0.857,-2.254,0.424,1.013,-0.046,0.42,2.1,2.373,0.619,2,0.57,2.037,0.856,10.565,10.565,1372.583,9.808,0.143,-0.427,-2.19,-0.475,0.509,4.64,3.817,4.165,10,1,10.565,201,4.86,25.683,0,244.29,3.734,5.621,3.734,1.607,18.363,0.0,-307.22,2,-151.0,2.137,9.474,6.155,3,0.071,-0.73,2.847,-156.22,2.137,56,2.272,2,5.708,35.53,1,0.48,6.975,3,3.96,2.847,0.482,1.607,5.708,37.891,9.474,59.306,0.509,2.146,1.011
188,-7.075,l,ROP,CC1OCCC(=O)O1,False,False,True,False,False,False,False,False,True,False,8,-31.31,5.49,0.73,1.536,29.625,-0.3,-57.41,1,0.8,-2.252,0.66,1.322,-0.088,0.2,2.875,2.145,0.279,1,-0.14,2.336,1.198,10.371,10.371,1098.066,9.53,1.0,-0.436,-2.177,-0.337,0.436,3.26,4.033,3.778,8,1,10.371,146,3.788,6.924,1,195.432,2.599,5.695,2.599,0.586,18.866,4.737,-293.77,1,-140.9,0.956,14.268,5.969,3,0.163,-0.57,1.678,-152.57,0.956,46,1.642,2,4.716,35.53,1,0.427,5.983,3,0.056,1.678,0.408,0.586,4.716,19.635,9.474,47.582,0.31,2.132,0.838
189,-34.895,s,vinyl/acrylic,C=C(C)C(=O)O,False,False,False,False,False,False,True,False,False,True,4,-27.95,4.9,0.422,0.642,7.5,-22.74,-46.59,0,0.25,-1.917,0.431,0.556,-0.063,0.5,2.0,1.897,0.355,0,-0.77,3.568,1.522,9.6,9.6,823.55,0.0,0.111,-0.478,-1.793,-0.935,0.478,2.07,2.806,2.869,6,0,9.6,62,2.643,6.924,0,146.574,1.531,5.844,1.531,0.0,11.076,6.579,-239.06,0,-86.54,0.365,4.795,5.969,1,0.176,-0.79,1.085,-129.78,0.365,34,1.361,0,3.563,37.3,0,0.475,5.155,2,0.0,1.085,0.34,0.0,3.563,6.924,5.107,36.1,0.33,1.598,0.704
190,-9.799,s,ROP,COC(=O)C1CCC(=O)OC1,False,False,True,False,False,False,False,False,False,True,8,-16.75,2.94,0.93,1.758,24.091,-10.6,-29.37,1,0.714,-2.281,0.872,1.883,-0.042,0.38,2.909,2.258,0.361,1,-0.76,2.385,1.929,10.86,10.86,1509.841,9.168,0.071,-0.469,-2.182,-0.294,0.469,3.91,5.265,5.531,11,1,21.405,276,5.236,6.421,1,268.719,3.472,5.764,3.472,0.994,25.655,9.474,-369.55,1,-175.73,1.677,19.063,11.939,4,0.172,-1.06,2.442,-183.22,1.677,62,2.046,2,6.332,52.6,1,0.508,8.268,4,0.866,2.442,0.454,0.994,6.332,12.842,9.474,64.473,0.312,3.366,1.135
191,-16.73,s,vinyl/acrylic,C=C(C)c1ccccn1,False,False,False,False,False,False,True,False,False,True,4,-17.12,3.0,0.588,0.841,9.0,-18.08,-31.69,0,0.125,-1.797,0.548,1.039,-0.049,0.64,2.667,1.876,0.803,1,0.43,2.981,1.389,4.079,4.079,1235.324,0.0,0.0,-0.257,-1.93,0.97,0.257,2.14,4.611,4.747,9,0,4.079,150,4.305,24.63,0,219.861,2.874,5.565,2.874,0.615,4.984,11.563,25.96,0,41.31,1.102,0.0,0.0,1,0.97,-1.11,1.995,2.73,1.102,46,1.9,0,5.464,12.89,0,0.551,6.69,1,1.768,1.995,0.843,0.615,5.464,6.924,0.0,55.056,0.065,2.444,1.055
192,-6.405,s,ROP,C=CCOCC1(CC)COC(=O)OC1,False,False,True,False,False,False,False,False,False,True,8,-17.54,3.07,0.914,1.542,19.643,-1.7,-31.77,1,0.7,-2.42,0.876,1.007,-0.048,0.5,2.714,2.359,0.34,1,0.22,2.407,2.734,10.695,10.695,1921.616,15.059,0.029,-0.433,-2.338,-0.585,0.508,5.32,6.047,5.295,14,1,10.695,482,6.722,6.421,2,342.006,4.705,5.602,4.705,1.256,32.583,6.579,-355.93,1,-167.65,2.386,14.211,6.155,4,0.184,-1.03,3.485,-186.58,2.386,80,2.22,3,8.453,44.76,1,0.385,10.441,4,1.967,3.485,0.459,1.256,8.453,13.345,14.211,83.83,0.508,5.002,1.558
